bar,date,year,era,members,entries,exits,gross_bp,cost_bp,net_PUB_bp,net_PB_bp,equity_gross_bp,equity_net_PUB_bp,market_bp
3509,2023-12-12,2023,2,61,1,1,28.57696225,0.7746539,27.80230835,28.25791895,5519.971135,3576.364496,-4.80171289
3510,2023-12-13,2023,2,61,0,0,-43.52380921,0.7746539,-44.29846311,-43.84285251,5476.447325,3532.066032,277.83681485
3511,2023-12-14,2023,2,60,0,1,-1.55230139,0.7746539,-2.32695529,-1.8713447,5474.895024,3529.739077,221.19289246
3512,2023-12-15,2023,2,61,1,0,34.74401705,0.7746539,33.96936315,34.42497375,5509.639041,3563.70844,-78.20313438
3513,2023-12-18,2023,2,64,3,0,105.72351821,0.7746539,104.94886431,105.40447491,5615.362559,3668.657305,14.02835874
3514,2023-12-19,2023,2,64,0,0,-26.78864432,0.7746539,-27.56329822,-27.10768762,5588.573915,3641.094006,149.45550153
3515,2023-12-20,2023,2,65,1,0,-2.96947183,0.7746539,-3.74412573,-3.28851513,5585.604443,3637.349881,-181.3305053
3516,2023-12-21,2023,2,65,0,0,4.88729557,0.7746539,4.11264167,4.56825227,5590.491739,3641.462522,154.83685099
3517,2023-12-22,2023,2,64,0,1,-59.27708733,0.7746539,-60.05174123,-59.59613063,5531.214651,3581.410781,52.02176852
3518,2023-12-26,2023,2,64,1,1,-11.75638612,0.7746539,-12.53104002,-12.07542942,5519.458265,3568.879741,86.44018609
3519,2023-12-27,2023,2,62,0,2,15.90726033,0.7746539,15.13260643,15.58821703,5535.365525,3584.012347,14.80547561
3520,2023-12-28,2023,2,61,0,1,-35.57793987,0.7746539,-36.35259377,-35.89698317,5499.787586,3547.659754,2.20047467
3521,2023-12-29,2023,2,62,1,0,-12.15165574,0.7746539,-12.92630965,-12.47069905,5487.63593,3534.733444,-93.25290767
3522,2024-01-02,2024,2,62,0,0,-139.83468341,0.7746539,-140.60933731,-140.15372671,5347.801246,3394.124107,-49.134696
3523,2024-01-03,2024,2,63,1,0,9.28500033,0.7746539,8.51034643,8.96595703,5357.086247,3402.634453,-218.07345001
3524,2024-01-04,2024,2,65,2,0,23.62181075,0.7746539,22.84715684,23.30276744,5380.708058,3425.48161,-8.89093942
3525,2024-01-05,2024,2,65,0,0,18.66466407,0.7746539,17.89001017,18.34562077,5399.372722,3443.37162,12.51356223
3526,2024-01-08,2024,2,65,1,1,11.33365348,0.7746539,10.55899958,11.01461018,5410.706375,3453.93062,155.39145389
3527,2024-01-09,2024,2,65,1,1,46.93975417,0.7746539,46.16510027,46.62071087,5457.646129,3500.09572,-69.99360418
3528,2024-01-10,2024,2,65,0,0,59.283038,0.7746539,58.5083841,58.9639947,5516.929167,3558.604104,13.59668566
