currency,area,period,rate_pct,filled
CAD,CAN,2026-08,2.28,False
CHF,CHE,2000-01,1.729247,False
CHF,CHE,2000-02,2.237979,False
CHF,CHE,2000-03,2.430723,False
CHF,CHE,2000-04,2.812119,False
CHF,CHE,2000-05,3.010377,False
CHF,CHE,2000-06,3.202906,False
CHF,CHE,2000-07,3.290506,False
CHF,CHE,2000-08,3.308465,False
CHF,CHE,2000-09,3.321707,False
CHF,CHE,2000-10,3.343872,False
CHF,CHE,2000-11,3.347469,False
CHF,CHE,2000-12,3.255507,False
CHF,CHE,2001-01,3.253967,False
CHF,CHE,2001-02,3.344046,False
CHF,CHE,2001-03,3.263203,False
CHF,CHE,2001-04,3.125085,False
CHF,CHE,2001-05,3.05291,False
CHF,CHE,2001-06,3.103806,False
CHF,CHE,2001-07,3.127807,False
CHF,CHE,2001-08,3.075015,False
CHF,CHE,2001-09,2.668326,False
CHF,CHE,2001-10,2.069154,False
CHF,CHE,2001-11,1.938035,False
CHF,CHE,2001-12,1.744283,False
CHF,CHE,2002-01,1.603725,False
CHF,CHE,2002-02,1.566671,False
CHF,CHE,2002-03,1.604164,False
CHF,CHE,2002-04,1.460647,False
CHF,CHE,2002-05,1.163494,False
CHF,CHE,2002-06,1.149594,False
CHF,CHE,2002-07,1.003062,False
CHF,CHE,2002-08,0.6683421,False
CHF,CHE,2002-09,0.6129991,False
CHF,CHE,2002-10,0.6278538,False
CHF,CHE,2002-11,0.5924979,False
CHF,CHE,2002-12,0.54339,False
CHF,CHE,2003-01,0.5087355,False
CHF,CHE,2003-02,0.4892373,False
CHF,CHE,2003-03,0.2331937,False
CHF,CHE,2003-04,0.1737809,False
CHF,CHE,2003-05,0.1585085,False
CHF,CHE,2003-06,0.1583946,False
CHF,CHE,2003-07,0.1635995,False
CHF,CHE,2003-08,0.1508667,False
CHF,CHE,2003-09,0.1387226,False
CHF,CHE,2003-10,0.129131,False
CHF,CHE,2003-11,0.1428322,False
CHF,CHE,2003-12,0.1368286,False
CHF,CHE,2004-01,0.1284939,False
CHF,CHE,2004-02,0.1480345,False
CHF,CHE,2004-03,0.158294,False
CHF,CHE,2004-04,0.1867494,False
CHF,CHE,2004-05,0.1823534,False
CHF,CHE,2004-06,0.328464,False
CHF,CHE,2004-07,0.4224014,False
CHF,CHE,2004-08,0.4719122,False
CHF,CHE,2004-09,0.5843777,False
CHF,CHE,2004-10,0.620791,False
CHF,CHE,2004-11,0.648511,False
CHF,CHE,2004-12,0.6493469,False
CHF,CHE,2005-01,0.6510692,False
CHF,CHE,2005-02,0.6771861,False
CHF,CHE,2005-03,0.6663162,False
CHF,CHE,2005-04,0.6729522,False
CHF,CHE,2005-05,0.6706622,False
CHF,CHE,2005-06,0.6722012,False
CHF,CHE,2005-07,0.6662764,False
CHF,CHE,2005-08,0.6758811,False
CHF,CHE,2005-09,0.6749197,False
CHF,CHE,2005-10,0.7221544,False
CHF,CHE,2005-11,0.8655521,False
CHF,CHE,2005-12,0.9330752,False
CHF,CHE,2006-01,0.9244895,False
CHF,CHE,2006-02,0.9967605,False
CHF,CHE,2006-03,1.113199,False
CHF,CHE,2006-04,1.175502,False
CHF,CHE,2006-05,1.301993,False
CHF,CHE,2006-06,1.372708,False
CHF,CHE,2006-07,1.427695,False
CHF,CHE,2006-08,1.523089,False
